OBJECTID,TRLNAME,TRLALTNAME,TRLLABEL,TRLFEATTYPE,TRLSTATUS,TRLSURFACE,TRLTYPE,TRLCLASS,TRLUSE,UNITCODE,UNITNAME,EDITDATE,MAPMETHOD,MAPSOURCE,SOURCEDATE,XYERROR,INPLACES,GlobalID
47,Blue Notch Road,,Blue Notch Road,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,Glen Canyon National Recreation Area,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,3edc7f5a-2ccc-426c-9cde-a2a9393745da
48,White Canyon North Road,,White Canyon North Road,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,Glen Canyon National Recreation Area,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,8d17b6f7-562e-4429-b0af-ae2adc98b3de
49,Trail,,Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,Glen Canyon National Recreation Area,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,bf7b0d92-5de9-47c7-8d2d-923f3584d50b
50,Trail,,Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,Glen Canyon National Recreation Area,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,3f3a3c61-242a-455a-ace4-d685839afe50
51,Imperial Valley Trail,,Imperial Valley Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,Glen Canyon National Recreation Area,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,64fa5401-f1b2-4adb-be6d-0d3fb3668be1
52,Fortknocker Canyon Road,,Fortknocker Canyon Road,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,Glen Canyon National Recreation Area,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,f7d4a41e-c930-4fec-bb73-6257754a52fc
53,Sun Dance Trail,,Sun Dance Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,Glen Canyon National Recreation Area,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,d4608157-0690-463f-9369-5099a6faa88b
55,Trail,,Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,Glen Canyon National Recreation Area,2015-04-13T00:00:00.000Z,Heads-Up Digitized,NAIP 2009 imagery,2014-07-31T00:00:00.000Z,,Yes,d1c2281a-5bab-4ddc-af53-9059664efdfc
56,Golden Stairs Trail,,Golden Stairs Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,Glen Canyon National Recreation Area,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,c32af493-eacd-46dc-a510-a96adf76d000
57,North Trail,,North Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,Glen Canyon National Recreation Area,2015-04-13T00:00:00.000Z,Unknown,,,,Yes,02cb1876-9b87-4849-80c9-5a36f5352867
58,North Trail,,North Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,Glen Canyon National Recreation Area,2015-04-13T00:00:00.000Z,Unknown,,,,Yes,977a0569-4a47-4f33-bab8-890cb1e8cad3
59,Rim Trail,,Rim Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,Glen Canyon National Recreation Area,2015-04-13T00:00:00.000Z,Unknown,,,,Yes,05f2512a-4133-4db9-8b80-966d67b93c97
60,Grand Bench Trail,Road 279,Grand Bench Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,Glen Canyon National Recreation Area,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,a818892f-4646-4bd6-a94a-2e69fd7e5674
69,White Canyon Trail,Road 657,White Canyon Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,Glen Canyon National Recreation Area,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,20a414d2-bb75-491b-ba42-ff8fb3af8648
