OBJECTID,TRLNAME,TRLALTNAME,TRLLABEL,TRLFEATTYPE,TRLSTATUS,TRLSURFACE,TRLTYPE,TRLCLASS,TRLUSE,UNITCODE,UNITNAME,EDITDATE,MAPMETHOD,MAPSOURCE,SOURCEDATE,XYERROR,INPLACES,GlobalID
1,Trail,,Trail,Park Trail,Existing,Asphalt,Standard Terra Trail,Unknown,Hiker/Pedestrian,TICA,Timpanogos Cave National Monument,2015-09-21T00:00:00.000Z,Differential GPS,,2000-07-10T00:00:00.000Z,,Yes,4763de5d-ccf7-42cf-8588-b9822855fd39
2,Trail to Cave,,Trail to Cave,Park Trail,Existing,Asphalt,Standard Terra Trail,Unknown,Hiker/Pedestrian,TICA,Timpanogos Cave National Monument,2015-09-21T00:00:00.000Z,Differential GPS,,2000-07-08T00:00:00.000Z,,Yes,f61cd6e7-8ad8-4235-a112-c3dd1be39189
