OBJECTID,TRLNAME,TRLALTNAME,TRLLABEL,TRLFEATTYPE,TRLSTATUS,TRLSURFACE,TRLTYPE,TRLCLASS,TRLUSE,UNITCODE,UNITNAME,EDITDATE,MAPMETHOD,MAPSOURCE,SOURCEDATE,XYERROR,INPLACES,GlobalID
67,Pa'rus Trail,,Pa'rus Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,ZION,Zion National Park,2015-10-08T00:00:00.000Z,Differential GPS,,2008-08-05T00:00:00.000Z,,Yes,d5070c09-aa81-480c-8536-8bc3ff675ad1
68,Stave Spring Trail,,Stave Spring Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian | Equestrian,ZION,Zion National Park,2015-10-08T00:00:00.000Z,Differential GPS,,2008-08-01T00:00:00.000Z,,Yes,63fe4e67-3283-44ed-9d9c-48801a31b0ba
69,Timber Creek Trail ,,Timber Creek Trail ,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,ZION,Zion National Park,2015-10-08T00:00:00.000Z,Differential GPS,,2007-08-03T00:00:00.000Z,,Yes,229cf273-c466-4686-b434-02b6fdcc3edd
70,Left Fork North Creek Trail,,Left Fork North Creek Trail,Unmaintained Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,ZION,Zion National Park,2015-10-08T00:00:00.000Z,Unknown,,,,Yes,daf5cddb-e657-415c-859a-75ec7f05a835
77,North Fork Taylor Creek Trail,,North Fork Taylor Creek Trail,Unmaintained Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,ZION,Zion National Park,2015-10-08T00:00:00.000Z,Differential GPS,,2007-08-03T00:00:00.000Z,,Yes,3c7e03e8-9586-4319-be4f-e35ce5357d02
82,Wildcat Canyon,,Wildcat Canyon,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian | Equestrian,ZION,Zion National Park,2015-10-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,55536217-695c-4370-aeb0-b70d48f260ea
83,Riverside Walk,,Riverside Walk,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,ZION,Zion National Park,2015-10-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,05ac9fd2-432f-4e89-8ba4-aafc9c38ac77
84,Observation Point Trail,,Observation Point Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,ZION,Zion National Park,2015-10-08T00:00:00.000Z,Differential GPS,,2007-07-05T00:00:00.000Z,,Yes,87a0ab74-5742-4f6e-933b-c715056fa252
85,Hidden Canyon Trail,,Hidden Canyon Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,ZION,Zion National Park,2015-10-08T00:00:00.000Z,Differential GPS,,2008-08-01T00:00:00.000Z,,Yes,7507262c-0728-4339-92c7-78850834ccd0
86,Lower Emerald Pools Trail,,Lower Emerald Pools Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,ZION,Zion National Park,2015-10-08T00:00:00.000Z,Heads-Up Digitized,,,,Yes,5ddb81cf-941d-43cb-84b6-0ed53fab42ad
