Park Name,1990 Recreational Visits,1991 Recreational Visits,1992 Recreational Visits,1993 Recreational Visits,1994 Recreational Visits,1995 Recreational Visits,1996 Recreational Visits,1997 Recreational Visits,1998 Recreational Visits,1999 Recreational Visits,1990 - 1999 Average Recreational Visits,1990 Non-Recreational Visits,1991 Non-Recreational Visits,1992 Non-Recreational Visits,1993 Non-Recreational Visits,1994 Non-Recreational Visits,1995 Non-Recreational Visits,1996 Non-Recreational Visits,1997 Non-Recreational Visits,1998 Non-Recreational Visits,1999 Non-Recreational Visits,1990 - 1999 Average Non-Recreational Visits,1990 Recreational Hours,1991 Recreational Hours,1992 Recreational Hours,1993 Recreational Hours,1994 Recreational Hours,1995 Recreational Hours,1996 Recreational Hours,1997 Recreational Hours,1998 Recreational Hours,1999 Recreational Hours,1990 - 1999 Average Recreational Hours,1990 Non-Recreational Hours,1991 Non-Recreational Hours,1992 Non-Recreational Hours,1993 Non-Recreational Hours,1994 Non-Recreational Hours,1995 Non-Recreational Hours,1996 Non-Recreational Hours,1997 Non-Recreational Hours,1998 Non-Recreational Hours,1999 Non-Recreational Hours,1990 - 1999 Average Non-Recreational Hours,1990 Concessioner Lodging,1991 Concessioner Lodging,1992 Concessioner Lodging,1993 Concessioner Lodging,1994 Concessioner Lodging,1995 Concessioner Lodging,1996 Concessioner Lodging,1997 Concessioner Lodging,1998 Concessioner Lodging,1999 Concessioner Lodging,1990 - 1999 Average Concessioner Lodging,1990 Concessioner Camping,1991 Concessioner Camping,1992 Concessioner Camping,1993 Concessioner Camping,1994 Concessioner Camping,1995 Concessioner Camping,1996 Concessioner Camping,1997 Concessioner Camping,1998 Concessioner Camping,1999 Concessioner Camping,1990 - 1999 Average Concessioner Camping,1990 Tent Overnights,1991 Tent Overnights,1992 Tent Overnights,1993 Tent Overnights,1994 Tent Overnights,1995 Tent Overnights,1996 Tent Overnights,1997 Tent Overnights,1998 Tent Overnights,1999 Tent Overnights,1990 - 1999 Average Tent Overnights,1990 RV Overnights,1991 RV Overnights,1992 RV Overnights,1993 RV Overnights,1994 RV Overnights,1995 RV Overnights,1996 RV Overnights,1997 RV Overnights,1998 RV Overnights,1999 RV Overnights,1990 - 1999 Average RV Overnights,1990 Backcountry Overnights,1991 Backcountry Overnights,1992 Backcountry Overnights,1993 Backcountry Overnights,1994 Backcountry Overnights,1995 Backcountry Overnights,1996 Backcountry Overnights,1997 Backcountry Overnights,1998 Backcountry Overnights,1999 Backcountry Overnights,1990 - 1999 Average Backcountry Overnights,1990 Non-recreational Overnights,1991 Non-recreational Overnights,1992 Non-recreational Overnights,1993 Non-recreational Overnights,1994 Non-recreational Overnights,1995 Non-recreational Overnights,1996 Non-recreational Overnights,1997 Non-recreational Overnights,1998 Non-recreational Overnights,1999 Non-recreational Overnights,1990 - 1999 Average Non-recreational Overnights,1990 Miscellaneous Overnights,1991 Miscellaneous Overnights,1992 Miscellaneous Overnights,1993 Miscellaneous Overnights,1994 Miscellaneous Overnights,1995 Miscellaneous Overnights,1996 Miscellaneous Overnights,1997 Miscellaneous Overnights,1998 Miscellaneous Overnights,1999 Miscellaneous Overnights,1990 - 1999 Average Miscellaneous Overnights
Eugene O'Neill NHS,"3,654","3,282","3,692","3,007","3,031","3,112","3,440","3,497","3,616","3,400","3,373",566,347,281,284,125,86,63,0,63,182,200,"9,109","8,531","9,863","7,280","7,732","8,625","12,073","10,479","11,242","10,921","9,586",737,589,525,898,22,12,126,0,126,364,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everglades NP,"957,925","1,292,014","1,025,686","973,706","886,455","820,466","890,167","989,532","1,118,215","1,073,982","1,002,815","44,184","55,629","38,671","87,937","95,489","88,897","94,658","62,420","59,262","67,461","69,461","7,659,824","8,458,256","5,399,716","5,255,460","4,777,441","4,620,484","5,545,100","5,318,219","5,677,862","5,640,075","5,835,244","132,552","250,333","174,023","395,719","429,704","400,040","425,964","280,894","266,682","303,577","305,949","44,151","46,268","34,821","47,308","35,522","37,282","39,284","38,235","37,418","39,811","40,010",0,0,0,0,0,0,0,0,0,0,0,"22,699","16,330","8,347","7,248","8,227","7,020","15,633","10,179","13,488","15,722","12,489","50,663","34,652","22,639","13,006","15,868","15,526","30,629","14,932","22,424","20,337","24,068","10,204","12,813","12,471","14,679","15,436","13,168","15,679","17,785","19,975","20,237","15,245",0,0,0,0,0,0,0,0,0,0,0,0,"2,783",246,162,417,972,"2,616","1,888","2,562","3,257","1,490"
Federal Hall NMEM,"289,382","179,180","131,350","127,700","169,420","198,913","259,932","205,487","251,975","211,482","202,482","4,443","12,256","2,220","3,642","1,994","2,168","4,459","2,412","1,614","1,668","3,688","150,980","83,674","106,581","77,048","127,991","112,783","144,033","120,667","157,586","136,890","121,823","12,471","27,703","2,956","4,379","1,482","2,843","8,854","2,110","2,583","2,995","6,838",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fire Island NS,"683,962","763,181","657,996","639,741","688,974","348,788","385,706","534,888","558,479","559,764","582,148","123,015","118,162","227,886","274,134","121,509","87,279","61,086","84,771","132,573","208,920","143,934","1,830,082","2,903,268","1,600,046","1,610,606","1,817,374","2,255,839","1,929,438","2,353,280","2,485,339","2,360,387","2,114,566","369,045","354,486","683,685","822,402","364,527","261,837","183,258","254,313","397,719","626,760","431,803",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,100","7,825","7,035","6,120","7,290","7,305","6,450","5,260","5,760","3,435","6,158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"49,291","53,573","50,430","56,244","55,237","56,655","45,033","47,734","48,849","52,793","51,584"
Florissant Fossil Beds NM,"94,844","73,075","87,969","81,508","100,333","91,434","91,278","86,488","79,779","81,510","86,822",0,0,0,0,0,0,0,0,0,0,0,"273,036","90,415","108,229","100,485","123,375","113,694","112,502","107,554","98,756","101,674","122,972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ford's Theatre NHS,"940,372","853,469","854,789","942,106","996,379","1,025,989","995,416","1,054,482","1,220,391","1,159,435","1,004,283",385,350,350,420,420,420,420,420,420,420,403,"1,041,835","975,936","931,489","990,742","1,052,580","1,060,635","1,022,202","1,046,429","1,209,434","1,163,522","1,049,480",775,700,700,840,840,840,840,840,840,840,806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fort Bowie NHS,"7,592","8,159","9,237","9,192","11,022","10,574","10,666","9,623","9,168","9,390","9,462",0,0,0,0,0,0,0,0,0,0,0,"15,184","16,318","18,474","18,384","22,044","21,148","21,332","19,246","18,336","18,780","18,925",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fort Caroline NMEM,"100,897","132,438","130,028","129,646","161,991","124,405","122,565","130,386","129,301","176,230","133,789",0,0,0,0,0,0,0,0,0,0,0,"100,897","132,438","130,028","129,646","161,991","124,405","122,565","130,386","129,301","176,230","133,789",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fort Davis NHS,"56,547","66,711","73,037","71,249","69,129","61,032","64,560","62,191","64,846","60,419","64,972",72,317,622,450,547,292,284,295,363,406,365,"92,209","110,429","122,697","129,834","127,541","110,222","116,508","116,040","116,391","102,549","114,442",36,162,"2,310",587,"1,739",331,315,354,515,569,692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fort Donelson NB,"285,714","206,528","218,896","207,503","207,332","216,433","217,178","221,923","225,854","225,604","223,297","1,038,380","556,437","637,518","632,911","607,393","608,659","556,424","540,814","550,642","566,822","629,600","177,272","141,965","146,791","143,573","143,651","145,848","149,560","151,497","155,267","156,491","151,192","16,715","18,546","21,037","20,885","20,045","20,085","18,364","17,846","18,171","18,705","19,040",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,184,42,224,232,71,205,154,202,260,165
