Park Name,2010 Recreational Visits,2011 Recreational Visits,2012 Recreational Visits,2013 Recreational Visits,2014 Recreational Visits,2015 Recreational Visits,2016 Recreational Visits,2017 Recreational Visits,2018 Recreational Visits,2019 Recreational Visits,2010 - 2019 Average Recreational Visits,2010 Non-Recreational Visits,2011 Non-Recreational Visits,2012 Non-Recreational Visits,2013 Non-Recreational Visits,2014 Non-Recreational Visits,2015 Non-Recreational Visits,2016 Non-Recreational Visits,2017 Non-Recreational Visits,2018 Non-Recreational Visits,2019 Non-Recreational Visits,2010 - 2019 Average Non-Recreational Visits,2010 Recreational Hours,2011 Recreational Hours,2012 Recreational Hours,2013 Recreational Hours,2014 Recreational Hours,2015 Recreational Hours,2016 Recreational Hours,2017 Recreational Hours,2018 Recreational Hours,2019 Recreational Hours,2010 - 2019 Average Recreational Hours,2010 Non-Recreational Hours,2011 Non-Recreational Hours,2012 Non-Recreational Hours,2013 Non-Recreational Hours,2014 Non-Recreational Hours,2015 Non-Recreational Hours,2016 Non-Recreational Hours,2017 Non-Recreational Hours,2018 Non-Recreational Hours,2019 Non-Recreational Hours,2010 - 2019 Average Non-Recreational Hours,2010 Concessioner Lodging,2011 Concessioner Lodging,2012 Concessioner Lodging,2013 Concessioner Lodging,2014 Concessioner Lodging,2015 Concessioner Lodging,2016 Concessioner Lodging,2017 Concessioner Lodging,2018 Concessioner Lodging,2019 Concessioner Lodging,2010 - 2019 Average Concessioner Lodging,2010 Concessioner Camping,2011 Concessioner Camping,2012 Concessioner Camping,2013 Concessioner Camping,2014 Concessioner Camping,2015 Concessioner Camping,2016 Concessioner Camping,2017 Concessioner Camping,2018 Concessioner Camping,2019 Concessioner Camping,2010 - 2019 Average Concessioner Camping,2010 Tent Overnights,2011 Tent Overnights,2012 Tent Overnights,2013 Tent Overnights,2014 Tent Overnights,2015 Tent Overnights,2016 Tent Overnights,2017 Tent Overnights,2018 Tent Overnights,2019 Tent Overnights,2010 - 2019 Average Tent Overnights,2010 RV Overnights,2011 RV Overnights,2012 RV Overnights,2013 RV Overnights,2014 RV Overnights,2015 RV Overnights,2016 RV Overnights,2017 RV Overnights,2018 RV Overnights,2019 RV Overnights,2010 - 2019 Average RV Overnights,2010 Backcountry Overnights,2011 Backcountry Overnights,2012 Backcountry Overnights,2013 Backcountry Overnights,2014 Backcountry Overnights,2015 Backcountry Overnights,2016 Backcountry Overnights,2017 Backcountry Overnights,2018 Backcountry Overnights,2019 Backcountry Overnights,2010 - 2019 Average Backcountry Overnights,2010 Non-recreational Overnights,2011 Non-recreational Overnights,2012 Non-recreational Overnights,2013 Non-recreational Overnights,2014 Non-recreational Overnights,2015 Non-recreational Overnights,2016 Non-recreational Overnights,2017 Non-recreational Overnights,2018 Non-recreational Overnights,2019 Non-recreational Overnights,2010 - 2019 Average Non-recreational Overnights,2010 Miscellaneous Overnights,2011 Miscellaneous Overnights,2012 Miscellaneous Overnights,2013 Miscellaneous Overnights,2014 Miscellaneous Overnights,2015 Miscellaneous Overnights,2016 Miscellaneous Overnights,2017 Miscellaneous Overnights,2018 Miscellaneous Overnights,2019 Miscellaneous Overnights,2010 - 2019 Average Miscellaneous Overnights
Abraham Lincoln Birthplace NHP,"177,122","163,568","169,515","163,928","241,264","148,605","252,495","269,580","260,964","238,226","208,527",0,0,0,0,0,0,0,0,0,0,0,"177,122","163,568","169,515","163,928","241,264","148,605","252,495","269,580","260,964","238,226","208,527",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acadia NP,"2,504,208","2,374,645","2,431,052","2,254,922","2,563,129","2,811,184","3,303,393","3,509,271","3,537,575","3,437,286","2,872,667","47,100","47,100","47,100","47,100","47,100","47,100","47,100","47,100","47,100","47,100","47,100","12,827,516","12,101,384","12,458,831","11,347,331","13,085,317","14,452,151","22,698,596","24,014,370","23,613,754","23,195,664","16,979,491","47,100","47,100","47,100","47,100","47,100","47,100","47,100","47,100","47,100","47,100","47,100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,977,"1,657","1,364","1,090",509,"121,287","117,879","124,482","114,753","126,474","135,000","152,811","152,586","144,744","140,985","133,100","28,821","27,519","26,760","29,025","33,369","32,094","46,629","55,812","58,215","57,696","39,594",974,"1,157","1,316","1,166","1,230","1,233","1,324","1,597","1,472","1,284","1,275",0,0,0,0,0,0,0,0,0,0,0,"8,549","7,243","8,083","7,047","8,474","8,343","8,563","10,889","11,698","11,674","9,056"
Adams NHP,"73,339","219,975","336,031","285,501","178,468","183,632","199,301","255,562","121,007","187,400","204,022","1,834","2,475","1,458","1,174","1,194","1,016",947,"1,036",495,0,"1,163","87,431","278,448","406,022","443,617","210,593","218,988","212,705","254,438","120,485","187,043","241,977",919,"1,239",726,586,597,507,474,517,248,0,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
African Burial Ground NM,"117,113","108,585","77,624","93,234","54,861","56,348","46,526","43,182","45,035","47,427","68,994",0,0,0,0,0,0,0,0,0,0,0,"57,657","54,996","43,878","54,711","34,407","36,820","32,801","32,539","32,537","33,765","41,411",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agate Fossil Beds NM,"12,509","11,617","11,824","10,504","12,440","13,264","15,555","32,038","16,238","16,657","15,265",0,0,0,0,0,0,0,0,0,0,0,"31,635","28,542","28,369","25,684","31,035","35,051","38,642","65,694","38,884","37,706","36,124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alibates Flint Quarries NM,"4,350","3,214","3,383","1,555","4,513","9,492","8,153","6,613","7,415","8,847","5,754",0,0,0,0,0,0,0,0,0,0,0,"10,878","8,037","8,456","3,890","11,281","23,730","20,383","16,531","18,539","22,116","14,384",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allegheny Portage Railroad NHS,"107,363","118,410","138,864","107,977","172,883","168,433","189,371","201,837","189,047","189,189","158,337",180,180,180,180,180,180,180,180,180,180,180,"133,292","143,680","198,534","213,667","259,779","258,982","290,939","311,595","289,774","291,387","239,163",48,48,48,48,48,48,48,48,48,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amistad NRA,"1,574,322","1,436,759","1,367,502","1,025,151","1,130,096","1,250,051","1,164,530","1,221,635","1,111,770","1,267,900","1,254,972","1,128","1,128","1,128","1,128","1,128","1,128","1,128","1,128","1,128","1,128","1,128","11,825,816","10,543,850","10,002,366","7,502,603","8,273,378","9,159,691","8,530,124","8,938,806","8,127,236","9,284,523","9,218,839","1,128","1,128","1,128","1,128","1,128","1,128","1,128","1,128","1,128","1,128","1,128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,"6,603",279,0,262,0,38,0,0,0,774,"24,524","21,042","7,042","6,221","2,628","5,278","8,265","11,019","6,629","10,192","10,284","2,473","2,113",0,0,0,0,0,0,0,0,459,0,0,0,0,0,0,0,0,0,0,0,227,"2,320","1,507","1,461","1,821","2,640","2,235","1,605",870,"2,220","1,691"
Andersonville NHS,"121,535","108,812","122,883","98,771","127,189","136,686","134,216","132,149","138,164","103,635","122,404",0,0,0,0,0,0,0,0,0,0,0,"243,068","217,627","245,768","197,540","254,376","273,372","268,433","264,295","276,330","207,271","244,808",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Johnson NHS,"60,323","52,322","51,261","42,929","42,863","45,357","45,937","53,998","50,671","51,189","49,685",0,0,0,0,0,0,0,0,0,0,0,"33,676","31,659","31,758","27,132","25,594","27,038","27,960","28,225","26,996","28,203","28,824",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
