Park Name,1979 Recreational Visits,1979 Average Recreational Visits,1979 Non-Recreational Visits,1979 Average Non-Recreational Visits,1979 Recreational Hours,1979 Average Recreational Hours,1979 Non-Recreational Hours,1979 Average Non-Recreational Hours,1979 Concessioner Lodging,1979 Average Concessioner Lodging,1979 Concessioner Camping,1979 Average Concessioner Camping,1979 Tent Overnights,1979 Average Tent Overnights,1979 RV Overnights,1979 Average RV Overnights,1979 Backcountry Overnights,1979 Average Backcountry Overnights,1979 Non-recreational Overnights,1979 Average Non-recreational Overnights,1979 Miscellaneous Overnights,1979 Average Miscellaneous Overnights
Muir Woods NM,"1,227,241","1,227,241","6,000","6,000","1,636,317","1,636,317","8,004","8,004",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Natchez Trace PKWY,"9,475,305","9,475,305","4,737,653","4,737,653","28,598,919","28,598,919","4,737,653","4,737,653",0,0,0,0,"4,164","4,164","10,253","10,253",0,0,0,0,0,0
Natural Bridges NM,"78,564","78,564","1,750","1,750","495,742","495,742","17,524","17,524",0,0,0,0,"3,075","3,075","4,525","4,525",0,0,482,482,488,488
Navajo NM,"41,341","41,341","49,804","49,804","209,037","209,037","12,523","12,523",0,0,0,0,"5,008","5,008","5,047","5,047",531,531,56,56,0,0
Nez Perce NHP,"162,688","162,688","17,497","17,497","349,303","349,303","1,746","1,746",0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Cascades NP,"742,997","742,997","22,200","22,200","1,906,219","1,906,219","152,220","152,220","14,397","14,397",348,348,"23,775","23,775","46,950","46,950","33,510","33,510","3,047","3,047","4,186","4,186"
Ocmulgee Mounds NHP,"81,572","81,572",0,0,"40,785","40,785",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olympic NP,"2,078,843","2,078,843","510,577","510,577","10,823,633","10,823,633","577,987","577,987","49,272","49,272","10,000","10,000","118,208","118,208","149,675","149,675","72,376","72,376",0,0,"1,916","1,916"
Oregon Caves NM & PRES,"130,733","130,733",585,585,"434,130","434,130","1,408","1,408","3,220","3,220",0,0,0,0,0,0,0,0,30,30,0,0
Organ Pipe Cactus NM,"131,634","131,634","2,376","2,376","1,022,903","1,022,903","3,564","3,564",0,0,0,0,"3,952","3,952","52,687","52,687","1,998","1,998",0,0,"1,793","1,793"
Ozark NSR,"1,453,034","1,453,034","454,641","454,641","5,251,397","5,251,397","284,445","284,445","4,098","4,098",0,0,"105,980","105,980","70,832","70,832","50,809","50,809",0,0,"23,103","23,103"
Padre Island NS,"774,862","774,862","8,608","8,608","5,007,653","5,007,653","68,864","68,864",0,0,0,0,"9,142","9,142","20,649","20,649","1,380","1,380",165,165,"50,513","50,513"
Pea Ridge NMP,"94,197","94,197",0,0,"88,293","88,293",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pecos NHP,"51,476","51,476",0,0,"64,676","64,676",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perry's Victory & Intl. Peace MEM,"129,831","129,831",0,0,"114,684","114,684",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petersburg NB,"577,283","577,283",0,0,"692,738","692,738",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrified Forest NP,"671,583","671,583","3,600","3,600","1,089,550","1,089,550","13,500","13,500",0,0,0,0,0,0,0,0,602,602,100,100,0,0
Pictured Rocks NL,"270,376","270,376","2,040","2,040","1,055,924","1,055,924",756,756,0,0,0,0,"8,096","8,096","5,187","5,187","8,854","8,854",0,0,538,538
Pinnacles NP,"153,717","153,717",0,0,"717,825","717,825",0,0,0,0,0,0,"5,970","5,970","2,369","2,369",0,0,0,0,67,67
Pipe Spring NM,"24,946","24,946",120,120,"26,259","26,259",120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pipestone NM,"143,995","143,995",0,0,"86,398","86,398",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Piscataway Park,"137,971","137,971",0,0,"246,115","246,115",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point Reyes NS,"1,489,135","1,489,135","25,788","25,788","6,164,315","6,164,315","25,788","25,788",0,0,0,0,0,0,0,0,"27,602","27,602",0,0,"4,367","4,367"
Prince William Forest Park,"499,209","499,209",480,480,"2,641,920","2,641,920",960,960,0,0,"23,953","23,953","18,194","18,194","3,951","3,951",746,746,0,0,"41,143","41,143"
Pu'uhonua o Honaunau NHP,"409,436","409,436",0,0,"409,436","409,436",0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,419
Pu'ukohola Heiau NHS,"21,737","21,737",0,0,"10,871","10,871",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rainbow Bridge NM,"97,066","97,066",0,0,"145,600","145,600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Redwood NP,"413,917","413,917","66,446","66,446","443,994","443,994","16,612","16,612",0,0,0,0,"1,501","1,501",0,0,"1,894","1,894",0,0,"5,262","5,262"
Richmond NBP,"265,793","265,793","66,100","66,100","156,807","156,807","11,544","11,544",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rock Creek Park,"1,156,593","1,156,593","14,846,137","14,846,137","1,804,752","1,804,752","3,711,535","3,711,535",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rocky Mountain NP,"2,568,530","2,568,530","11,456","11,456","19,928,904","19,928,904","34,368","34,368",0,0,0,0,"138,381","138,381","170,300","170,300","56,560","56,560",0,0,"11,236","11,236"
Roger Williams NMEM,"27,788","27,788",170,170,"63,857","63,857",16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russell Cave NM,"18,526","18,526",746,746,"22,434","22,434",246,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sagamore Hill NHS,"167,509","167,509",0,0,"335,018","335,018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saguaro NP,"566,486","566,486",0,0,"821,867","821,867",0,0,0,0,0,0,0,0,0,0,"3,622","3,622",0,0,0,0
Saint Croix NSR,"391,683","391,683","22,782","22,782","3,928,678","3,928,678","45,584","45,584",0,0,0,0,0,0,0,0,"7,606","7,606","61,304","61,304",0,0
Saint-Gaudens NHP,"31,800","31,800",0,0,"52,552","52,552",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salem Maritime NHS,"431,799","431,799","22,746","22,746","755,835","755,835","5,685","5,685",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salinas Pueblo Missions NM,"26,728","26,728",0,0,"51,338","51,338",0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,95
San Juan Island NHP,"92,481","92,481",0,0,"74,258","74,258",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Juan NHS,"1,458,778","1,458,778",0,0,"1,513,822","1,513,822",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saratoga NHP,"97,241","97,241","132,672","132,672","150,463","150,463","7,865","7,865",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saugus Iron Works NHS,"32,803","32,803","21,430","21,430","49,255","49,255","22,228","22,228",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotts Bluff NM,"173,291","173,291",0,0,"73,136","73,136",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sequoia NP,"799,576","799,576",374,374,"26,347,817","26,347,817","1,496","1,496","85,622","85,622",0,0,"118,332","118,332","92,107","92,107","75,002","75,002",0,0,0,0
Shenandoah NP,"1,521,451","1,521,451","104,271","104,271","12,564,070","12,564,070","26,069","26,069","111,258","111,258",0,0,"140,955","140,955","107,016","107,016","62,831","62,831",0,0,"12,727","12,727"
Shiloh NMP,"318,934","318,934","253,583","253,583","713,017","713,017","50,713","50,713",0,0,0,0,0,0,0,0,0,0,0,0,"11,101","11,101"
Sitka NHP,"69,189","69,189","2,947","2,947","38,723","38,723","2,947","2,947",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sleeping Bear Dunes NL,"733,463","733,463",0,0,"2,933,852","2,933,852",0,0,0,0,0,0,"22,713","22,713","23,412","23,412","6,803","6,803",0,0,"3,006","3,006"
Springfield Armory NHS,"15,607","15,607",0,0,"2,896","2,896",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Statue of Liberty NM,"1,661,432","1,661,432",0,0,"2,161,329","2,161,329",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stones River NB,"122,049","122,049",960,960,"89,113","89,113",304,304,0,0,0,0,0,0,0,0,0,0,0,0,77,77
Sunset Crater Volcano NM,"308,723","308,723","10,191","10,191","366,724","366,724","3,397","3,397",0,0,0,0,"1,334","1,334","4,749","4,749",0,0,0,0,0,0
Theodore Roosevelt Birthplace NHS,"13,237","13,237",885,885,"13,237","13,237",157,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Theodore Roosevelt Inaugural NHS,"15,888","15,888","4,093","4,093","7,946","7,946","8,186","8,186",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Theodore Roosevelt Island,"72,458","72,458",0,0,"132,463","132,463",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Theodore Roosevelt NP,"591,646","591,646","7,476","7,476","963,853","963,853","2,496","2,496",0,0,0,0,"15,924","15,924","15,422","15,422",624,624,0,0,0,0
Thomas Edison NHP,"52,999","52,999",0,0,"112,947","112,947",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Jefferson MEM,"2,328,095","2,328,095",0,0,"388,012","388,012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timpanogos Cave NM,"125,080","125,080",0,0,"287,298","287,298",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonto NM,"69,847","69,847",0,0,"89,541","89,541",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tumacacori NHP,"59,013","59,013",0,0,"39,175","39,175",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuskegee Institute NHS,"18,913","18,913",0,0,"11,777","11,777",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuzigoot NM,"68,733","68,733","3,032","3,032","51,550","51,550",752,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valley Forge NHP,"3,107,420","3,107,420","8,296,910","8,296,910","1,620,942","1,620,942","829,692","829,692",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanderbilt Mansion NHS,"335,275","335,275",0,0,"581,384","581,384",0,0,0,0,0,0,0,0,0,0,0,0,33,33,0,0
Vicksburg NMP,"633,951","633,951","337,264","337,264","639,755","639,755","120,415","120,415",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virgin Islands NP,"549,732","549,732","185,194","185,194","4,336,053","4,336,053","179,938","179,938","29,130","29,130","47,095","47,095",0,0,0,0,"1,224","1,224","7,042","7,042","58,895","58,895"
Voyageurs NP,"195,277","195,277","6,129","6,129","1,208,765","1,208,765","145,932","145,932","10,356","10,356",133,133,"24,686","24,686",0,0,"11,576","11,576","6,129","6,129","21,227","21,227"
Walnut Canyon NM,"69,729","69,729",856,856,"87,510","87,510",428,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington Monument,"1,304,790","1,304,790",0,0,"381,242","381,242",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whiskeytown NRA,"1,162,390","1,162,390","9,053","9,053","5,215,769","5,215,769","10,565","10,565",0,0,0,0,"32,718","32,718","40,531","40,531","1,860","1,860",0,0,"14,771","14,771"
White House,"1,313,017","1,313,017",0,0,"656,509","656,509",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
White Sands NP,"580,814","580,814","5,089","5,089","721,028","721,028","11,246","11,246",0,0,0,0,0,0,0,0,621,621,0,0,0,0
Whitman Mission NHS,"118,136","118,136","1,835","1,835","177,205","177,205",916,916,0,0,0,0,0,0,0,0,0,0,0,0,0,0
William Howard Taft NHS,"4,410","4,410",772,772,"2,204","2,204",201,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilson's Creek NB,"80,559","80,559",0,0,"111,683","111,683",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wind Cave NP,"457,443","457,443","494,352","494,352","605,889","605,889","164,634","164,634",0,0,0,0,"6,814","6,814","4,750","4,750",0,0,0,0,0,0
Wolf Trap NP for the Performing Arts,"589,016","589,016",0,0,"2,506,867","2,506,867",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wright Brothers NMEM,"396,322","396,322","2,184","2,184","324,134","324,134","1,083","1,083",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wupatki NM,"186,875","186,875","4,626","4,626","207,981","207,981","6,210","6,210",0,0,0,0,0,0,0,0,142,142,0,0,0,0
Yellowstone NP,"1,892,908","1,892,908","2,261","2,261","51,909,649","51,909,649","18,088","18,088","537,607","537,607","102,910","102,910","219,297","219,297","358,266","358,266","46,142","46,142",0,0,"10,199","10,199"
Yosemite NP,"2,350,782","2,350,782","90,603","90,603","63,510,069","63,510,069","2,350,087","2,350,087","881,342","881,342",0,0,"282,075","282,075","273,374","273,374","72,901","72,901",0,0,0,0
Zion NP,"1,040,528","1,040,528","105,015","105,015","7,711,052","7,711,052","105,015","105,015","41,562","41,562",0,0,"69,712","69,712","95,746","95,746","8,964","8,964",0,0,"10,492","10,492"
