Park Name,2000 Recreational Visits,2001 Recreational Visits,2002 Recreational Visits,2003 Recreational Visits,2004 Recreational Visits,2005 Recreational Visits,2006 Recreational Visits,2007 Recreational Visits,2008 Recreational Visits,2009 Recreational Visits,2000 - 2009 Average Recreational Visits,2000 Non-Recreational Visits,2001 Non-Recreational Visits,2002 Non-Recreational Visits,2003 Non-Recreational Visits,2004 Non-Recreational Visits,2005 Non-Recreational Visits,2006 Non-Recreational Visits,2007 Non-Recreational Visits,2008 Non-Recreational Visits,2009 Non-Recreational Visits,2000 - 2009 Average Non-Recreational Visits,2000 Recreational Hours,2001 Recreational Hours,2002 Recreational Hours,2003 Recreational Hours,2004 Recreational Hours,2005 Recreational Hours,2006 Recreational Hours,2007 Recreational Hours,2008 Recreational Hours,2009 Recreational Hours,2000 - 2009 Average Recreational Hours,2000 Non-Recreational Hours,2001 Non-Recreational Hours,2002 Non-Recreational Hours,2003 Non-Recreational Hours,2004 Non-Recreational Hours,2005 Non-Recreational Hours,2006 Non-Recreational Hours,2007 Non-Recreational Hours,2008 Non-Recreational Hours,2009 Non-Recreational Hours,2000 - 2009 Average Non-Recreational Hours,2000 Concessioner Lodging,2001 Concessioner Lodging,2002 Concessioner Lodging,2003 Concessioner Lodging,2004 Concessioner Lodging,2005 Concessioner Lodging,2006 Concessioner Lodging,2007 Concessioner Lodging,2008 Concessioner Lodging,2009 Concessioner Lodging,2000 - 2009 Average Concessioner Lodging,2000 Concessioner Camping,2001 Concessioner Camping,2002 Concessioner Camping,2003 Concessioner Camping,2004 Concessioner Camping,2005 Concessioner Camping,2006 Concessioner Camping,2007 Concessioner Camping,2008 Concessioner Camping,2009 Concessioner Camping,2000 - 2009 Average Concessioner Camping,2000 Tent Overnights,2001 Tent Overnights,2002 Tent Overnights,2003 Tent Overnights,2004 Tent Overnights,2005 Tent Overnights,2006 Tent Overnights,2007 Tent Overnights,2008 Tent Overnights,2009 Tent Overnights,2000 - 2009 Average Tent Overnights,2000 RV Overnights,2001 RV Overnights,2002 RV Overnights,2003 RV Overnights,2004 RV Overnights,2005 RV Overnights,2006 RV Overnights,2007 RV Overnights,2008 RV Overnights,2009 RV Overnights,2000 - 2009 Average RV Overnights,2000 Backcountry Overnights,2001 Backcountry Overnights,2002 Backcountry Overnights,2003 Backcountry Overnights,2004 Backcountry Overnights,2005 Backcountry Overnights,2006 Backcountry Overnights,2007 Backcountry Overnights,2008 Backcountry Overnights,2009 Backcountry Overnights,2000 - 2009 Average Backcountry Overnights,2000 Non-recreational Overnights,2001 Non-recreational Overnights,2002 Non-recreational Overnights,2003 Non-recreational Overnights,2004 Non-recreational Overnights,2005 Non-recreational Overnights,2006 Non-recreational Overnights,2007 Non-recreational Overnights,2008 Non-recreational Overnights,2009 Non-recreational Overnights,2000 - 2009 Average Non-recreational Overnights,2000 Miscellaneous Overnights,2001 Miscellaneous Overnights,2002 Miscellaneous Overnights,2003 Miscellaneous Overnights,2004 Miscellaneous Overnights,2005 Miscellaneous Overnights,2006 Miscellaneous Overnights,2007 Miscellaneous Overnights,2008 Miscellaneous Overnights,2009 Miscellaneous Overnights,2000 - 2009 Average Miscellaneous Overnights
Antietam NB,"286,896","303,599","303,209","279,694","237,885","295,309","282,676","337,569","352,548","378,966","305,835",0,0,0,0,0,0,0,0,0,0,0,"658,712","589,198","682,414","594,750","523,313","647,416","723,252","731,441","751,088","817,929","671,951",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664,0,0,0,0,0,"3,730",0,0,0,439
Apostle Islands NL,"181,760","185,435","169,674","169,699","151,881","175,245","189,051","182,396","162,871","170,202","173,821","1,054","1,054","1,054","1,054","1,054","1,054","1,054","1,054","1,054","1,054","1,054","949,061","886,993","999,203","905,867","779,468","808,333","822,258","812,728","629,637","800,609","839,416",267,267,267,267,267,267,267,267,267,267,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"18,511","19,263","20,028","16,384","14,920","15,536","15,000","16,207","14,746","15,766","16,636",0,0,0,0,0,0,0,0,0,0,0,"15,965","10,614","16,649","13,394","11,454","10,410","10,675","9,429","2,983","11,823","11,340"
Appomattox Court House NHP,"196,363","190,422","177,219","155,031","152,453","136,827","145,804","149,255","178,748","185,443","166,757",0,0,0,0,0,0,0,0,0,0,0,"162,645","157,722","146,787","128,409","126,270","113,332","120,765","123,626","148,055","153,598","138,121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arches NP,"786,429","754,026","769,672","757,781","733,131","781,670","833,049","860,181","928,795","996,312","820,105",0,0,0,0,0,0,0,0,0,0,0,"3,457,464","3,388,006","3,433,320","3,344,489","3,360,965","3,607,089","3,743,632","3,799,550","4,006,852","4,291,467","3,643,283",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"26,940","29,711","29,450","28,308","29,524","32,040","30,090","29,023","29,299","30,542","29,493","14,116","12,466","12,074","11,974","13,616","14,380","15,454","15,081","14,595","16,411","14,017",643,414,402,341,378,471,286,277,366,808,439,0,0,0,0,0,0,0,0,0,0,0,"4,059","4,322","4,921","4,008","4,883","5,697","6,025","6,412","6,595","6,513","5,344"
Arkansas Post NMEM,"43,903","43,502","48,126","37,905","38,183","37,740","36,665","37,230","43,137","32,160","39,855",0,0,0,0,0,0,0,0,0,0,0,"65,876","65,256","72,185","56,857","57,270","56,681","54,996","55,842","64,705","48,240","59,791",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1
Arlington House The R.E. Lee MEM,"377,011","429,470","416,531","378,688","492,831","498,553","509,522","466,690","518,515","603,773","469,158",0,0,0,0,0,0,0,0,0,0,0,"188,511","214,740","208,265","189,343","246,416","249,275","254,762","233,345","259,257","301,886","234,580",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assateague Island NS,"1,810,501","1,897,634","2,117,458","2,020,666","2,048,789","1,996,502","1,932,817","2,110,918","2,011,438","2,129,658","2,007,638","3,600","3,600","3,600","3,600","3,600","3,600","3,600","3,600","3,600","3,600","3,600","15,990,243","16,837,581","18,456,242","17,540,201","18,079,961","18,016,358","17,072,881","18,615,128","17,118,291","18,784,089","17,651,098","3,600","3,600","3,600","3,600","3,600","3,600","3,600","3,600","3,600","3,600","3,600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"52,629","59,280","52,354","49,379","60,476","80,738","54,882","52,742","49,114","51,779","56,337","17,958","19,881","18,968","17,579","22,204","21,171","22,098","22,009","20,121","23,404","20,539","2,241","2,609","3,005","2,048","2,681","2,014","2,101","2,125","1,991","2,063","2,288",0,0,0,0,0,0,0,0,0,0,0,"14,221","13,603","13,143","10,254","11,037","12,338","16,495","26,546","24,239","35,435","17,731"
Aztec Ruins NM,"52,136","46,451","47,401","42,493","45,423","44,050","40,779","39,538","38,709","38,234","43,521",719,603,524,755,457,724,845,899,"1,141","1,250",792,"78,208","69,680","71,104","63,743","68,136","66,078","61,170","59,310","58,067","57,353","65,285","1,199","1,139","1,025",214,315,148,458,659,37,"1,017",621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Badlands NP,"1,105,824","955,469","908,898","871,034","936,030","909,146","840,118","886,654","845,734","933,918","919,283","18,864","18,864","18,864","18,864","18,864","18,864","18,864","18,864","18,864","18,864","18,864","4,964,253","4,297,133","4,036,688","3,938,898","4,178,385","3,995,845","3,695,301","4,073,686","3,689,516","4,197,338","4,106,704","9,432","9,432","9,432","9,432","9,432","9,432","9,432","9,432","9,432","9,432","9,432","8,363","8,019","6,502","7,995","6,737","8,045","7,297","15,852","8,358","5,874","8,304",0,0,0,0,0,0,0,0,0,0,0,"30,205","27,574","23,192","25,622","24,225","18,668","17,578","16,211","14,787","25,388","22,345","14,869","11,279","10,766","11,153","12,149","8,751","8,284","16,506","7,949","12,232","11,394",859,692,540,384,879,654,397,710,613,"1,410",714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,395","1,347","2,031",890,"1,351",701
Bandelier NM,"248,276","313,850","291,436","287,096","263,285","250,161","243,765","224,134","207,656","212,544","254,220",840,840,840,840,840,840,840,840,840,840,840,"949,505","1,202,679","1,155,991","1,115,304","1,021,450","981,792","935,008","875,417","835,497","889,590","996,223",132,132,132,132,132,132,132,132,132,132,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,609","7,425","8,481","7,013","5,925","5,891","4,898","5,385","5,071","5,850","6,155","2,563","4,235","4,450","4,359","4,132","4,157","3,673","3,796","3,374","3,736","3,848","1,859","2,173","1,180","1,440","1,022","1,405","1,114","1,073","1,097",591,"1,295",0,0,0,0,0,0,0,0,0,0,0,"2,182","1,543","1,838","1,914","2,409","1,858","2,369","1,436","2,519","3,760","2,183"
Bent's Old Fort NHS,"30,461","30,987","29,830","31,247","30,964","27,760","26,483","23,952","25,001","28,131","28,482",0,0,0,0,0,0,0,0,0,0,0,"53,308","54,230","52,205","54,683","54,188","48,582","46,348","41,917","43,753","49,231","49,845",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bering Land Bridge NPRES,"3,025","3,525","2,775","2,425","2,710","2,428","1,265",796,"1,019","1,054","2,102","4,000","4,230","4,025","4,210","4,226","3,991","2,171","1,207","1,166","1,120","3,035","9,075","10,575","8,325","7,275","8,130","7,284","3,795","2,388","3,057","3,162","6,307","32,000","33,840","32,200","33,680","33,808","31,928","17,368","9,656","9,328","8,960","24,277",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,15,0,191,432,283,375,856,218,0,0,55,250,0,321,"1,300",642,"1,158","1,130",486,0,0,0,0,0,0,0,0,0,0,0
Big Bend NP,"262,320","328,927","327,747","312,384","357,723","398,583","298,717","364,856","362,512","363,905","337,767","2,364","2,364","2,364","2,364","2,364","2,364","2,364","2,364","2,364","2,364","2,364","7,606,080","8,460,924","8,854,930","7,978,597","8,737,332","9,111,468","7,521,290","8,456,245","8,346,364","8,461,636","8,353,487","7,092","7,092","7,092","7,092","7,092","7,092","7,092","7,092","7,092","7,092","7,092","44,627","43,127","44,449","40,507","42,172","43,491","41,811","45,960","44,535","47,715","43,839","10,473","11,339","11,625","9,930","11,638","9,780","10,017","11,764","8,570","8,807","10,394","34,052","35,218","42,236","33,058","33,537","32,837","30,388","32,395","34,308","38,702","34,673","34,261","32,493","34,607","25,630","33,921","29,739","29,546","27,400","24,361","24,039","29,600","32,675","28,826","30,418","29,399","29,720","28,239","22,668","21,146","19,306","20,727","26,312",0,0,0,0,0,0,0,0,0,0,0,"29,672","37,072","41,747","37,726","34,206","36,268","29,599","31,251","35,430","30,626","34,360"
Big Cypress NPRES,"505,062","409,771","449,481","400,902","385,194","768,687","825,857","822,864","813,790","812,207","619,382",0,0,0,0,0,0,0,0,0,0,0,"1,760,113","1,988,728","1,987,392","1,762,132","1,710,905","2,904,446","2,705,543","2,990,388","2,961,782","3,247,938","2,401,937",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,210","6,626","4,684","3,272","2,936","10,661","3,706","3,845","3,524","5,495","5,096","15,179","15,582","12,126","10,330","6,671","31,000","12,422","13,240","10,383","10,930","13,786","12,294","14,326","13,063","12,292","11,715","9,798","11,814","18,783","11,679","12,600","12,836",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big Hole NB,"40,470","56,619","61,142","56,146","60,128","54,934","55,049","55,415","54,818","49,822","54,454",0,0,0,0,0,0,0,0,0,0,0,"55,499","92,346","97,359","97,757","96,753","89,696","97,965","82,296","79,952","78,733","86,836",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Big South Fork NRRA,"864,200","916,548","852,873","752,140","696,114","699,230","622,807","626,751","675,928","686,747","739,334",0,0,0,0,0,0,0,0,0,0,0,"6,161,517","6,503,083","6,178,468","5,598,766","5,297,932","5,263,154","4,804,139","4,864,011","5,129,601","5,170,230","5,497,090",0,0,0,0,0,0,0,0,0,0,0,"15,633","14,718","9,238","8,786","9,381","7,296","7,537","6,308","6,028","5,709","9,063",0,0,0,0,0,0,0,0,0,0,0,"12,936","10,265","10,698","9,950","8,971","9,098","8,381","7,884","8,929","7,799","9,491","28,211","31,768","31,166","29,712","26,374","27,573","27,331","32,318","33,263","31,842","29,956","6,859","8,473","12,640","16,846","22,301","18,738","21,325","20,520","16,928","19,301","16,393",0,0,0,0,0,0,0,0,0,0,0,"3,693","4,003","3,236","3,953","3,666","6,266","4,400","5,126","5,471","4,769","4,458"
Big Thicket NPRES,"62,009","98,526","101,830","101,580","107,782","92,383","91,126","95,285","93,634","100,509","94,466",0,0,0,0,0,0,0,0,0,0,0,"221,197","383,671","384,752","390,597","376,165","384,976","378,266","384,325","376,136","413,521","369,361",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,474","1,257","1,512","1,764",938,"1,488","1,125","1,202",924,"2,722","1,441",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bighorn Canyon NRA,"238,049","241,388","167,792","228,701","149,011","194,519","177,414","213,063","178,533","205,293","199,376","6,900","6,900","6,900","6,900","6,900","6,900","6,900","6,900","6,900","6,900","6,900","934,096","937,861","653,568","925,071","672,819","794,087","710,798","836,443","704,768","777,572","794,708","3,455","3,455","3,455","3,455","3,455","3,455","3,455","3,455","3,455","3,455","3,455",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,620","4,856","2,814","3,705","4,223","4,221","4,922","4,062","4,909","4,325","4,266","9,759","11,191","5,425","7,488","8,003","8,232","7,598","8,973","10,234","9,143","8,605",581,454,53,627,486,"1,099",601,"1,285","1,301",785,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biscayne NP,"393,151","489,343","513,397","490,031","478,304","563,728","608,836","517,442","686,062","437,745","517,804",0,0,0,0,0,0,0,0,0,0,0,"1,179,453","1,468,029","1,540,191","1,470,093","1,434,912","1,691,184","2,018,511","1,758,365","2,207,855","1,512,836","1,628,143",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,"2,002",807,934,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,752","6,583","5,429","7,383","2,715"
Black Canyon of the Gunnison NP,"191,506","181,018","173,687","167,247","175,581","180,814","160,450","219,576","160,185","171,451","178,152",0,0,0,0,0,0,0,0,0,0,0,"1,000,840","976,823","904,213","960,008","993,493","960,922","859,668","1,057,141","897,618","937,746","954,847",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,446","7,318","6,355","5,726","6,948","6,691","6,410","7,271","7,021","7,341","6,853","3,824","4,751","3,811","7,110","6,637","5,464","4,624","6,401","5,540","5,771","5,393","2,456","1,729","1,884","2,037","1,782","1,635","1,829","1,705","1,259","1,412","1,773",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
