Park Name,2000 Recreational Visits,2001 Recreational Visits,2002 Recreational Visits,2003 Recreational Visits,2004 Recreational Visits,2005 Recreational Visits,2006 Recreational Visits,2007 Recreational Visits,2008 Recreational Visits,2009 Recreational Visits,2000 - 2009 Average Recreational Visits,2000 Non-Recreational Visits,2001 Non-Recreational Visits,2002 Non-Recreational Visits,2003 Non-Recreational Visits,2004 Non-Recreational Visits,2005 Non-Recreational Visits,2006 Non-Recreational Visits,2007 Non-Recreational Visits,2008 Non-Recreational Visits,2009 Non-Recreational Visits,2000 - 2009 Average Non-Recreational Visits,2000 Recreational Hours,2001 Recreational Hours,2002 Recreational Hours,2003 Recreational Hours,2004 Recreational Hours,2005 Recreational Hours,2006 Recreational Hours,2007 Recreational Hours,2008 Recreational Hours,2009 Recreational Hours,2000 - 2009 Average Recreational Hours,2000 Non-Recreational Hours,2001 Non-Recreational Hours,2002 Non-Recreational Hours,2003 Non-Recreational Hours,2004 Non-Recreational Hours,2005 Non-Recreational Hours,2006 Non-Recreational Hours,2007 Non-Recreational Hours,2008 Non-Recreational Hours,2009 Non-Recreational Hours,2000 - 2009 Average Non-Recreational Hours,2000 Concessioner Lodging,2001 Concessioner Lodging,2002 Concessioner Lodging,2003 Concessioner Lodging,2004 Concessioner Lodging,2005 Concessioner Lodging,2006 Concessioner Lodging,2007 Concessioner Lodging,2008 Concessioner Lodging,2009 Concessioner Lodging,2000 - 2009 Average Concessioner Lodging,2000 Concessioner Camping,2001 Concessioner Camping,2002 Concessioner Camping,2003 Concessioner Camping,2004 Concessioner Camping,2005 Concessioner Camping,2006 Concessioner Camping,2007 Concessioner Camping,2008 Concessioner Camping,2009 Concessioner Camping,2000 - 2009 Average Concessioner Camping,2000 Tent Overnights,2001 Tent Overnights,2002 Tent Overnights,2003 Tent Overnights,2004 Tent Overnights,2005 Tent Overnights,2006 Tent Overnights,2007 Tent Overnights,2008 Tent Overnights,2009 Tent Overnights,2000 - 2009 Average Tent Overnights,2000 RV Overnights,2001 RV Overnights,2002 RV Overnights,2003 RV Overnights,2004 RV Overnights,2005 RV Overnights,2006 RV Overnights,2007 RV Overnights,2008 RV Overnights,2009 RV Overnights,2000 - 2009 Average RV Overnights,2000 Backcountry Overnights,2001 Backcountry Overnights,2002 Backcountry Overnights,2003 Backcountry Overnights,2004 Backcountry Overnights,2005 Backcountry Overnights,2006 Backcountry Overnights,2007 Backcountry Overnights,2008 Backcountry Overnights,2009 Backcountry Overnights,2000 - 2009 Average Backcountry Overnights,2000 Non-recreational Overnights,2001 Non-recreational Overnights,2002 Non-recreational Overnights,2003 Non-recreational Overnights,2004 Non-recreational Overnights,2005 Non-recreational Overnights,2006 Non-recreational Overnights,2007 Non-recreational Overnights,2008 Non-recreational Overnights,2009 Non-recreational Overnights,2000 - 2009 Average Non-recreational Overnights,2000 Miscellaneous Overnights,2001 Miscellaneous Overnights,2002 Miscellaneous Overnights,2003 Miscellaneous Overnights,2004 Miscellaneous Overnights,2005 Miscellaneous Overnights,2006 Miscellaneous Overnights,2007 Miscellaneous Overnights,2008 Miscellaneous Overnights,2009 Miscellaneous Overnights,2000 - 2009 Average Miscellaneous Overnights
Abraham Lincoln Birthplace NHP,"236,180","229,675","250,772","211,650","201,828","190,809","200,054","202,950","200,404","221,111","214,543",0,0,0,0,0,0,0,0,0,0,0,"236,180","229,675","250,772","211,650","201,828","190,809","200,054","202,950","200,404","221,111","214,543",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acadia NP,"2,469,238","2,516,551","2,558,572","2,431,062","2,207,847","2,051,484","2,083,588","2,202,228","2,075,857","2,227,698","2,282,413","252,576","252,576","252,576","34,500","34,500","47,100","47,100","47,100","47,100","47,100","106,223","13,230,679","13,467,741","13,683,657","13,012,171","11,822,104","10,568,105","10,720,555","11,331,597","10,635,395","11,447,560","11,991,956","252,576","252,576","252,576","34,500","34,500","47,100","47,100","47,100","47,100","47,100","106,223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"114,033","118,545","122,340","117,369","101,577","85,815","96,252","98,586","101,028","105,042","106,059","22,692","24,747","22,545","21,876","19,878","19,302","22,299","23,280","21,198","22,755","22,057",0,0,0,0,0,"1,157","1,306","1,091","1,229","1,037",582,0,0,0,0,0,0,0,0,0,0,0,"9,747","10,382","11,262","9,693","8,618","5,378","7,300","7,352","6,698","7,212","8,364"
Adams NHP,"87,347","167,500","173,944","215,659","239,504","220,467","225,318","224,880","241,536","253,656","204,981","1,411","2,255","2,946","3,141","2,022","2,439","2,593","2,614","3,598","3,507","2,653","77,664","151,073","156,764","192,381","199,477","182,457","186,479","187,888","218,668","243,357","179,621",709,"1,130","1,475","1,571","1,014","1,222","1,299","1,310","1,801","1,755","1,329",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agate Fossil Beds NM,"17,933","17,399","17,129","16,233","15,235","14,209","13,521","12,997","12,425","12,694","14,978",0,0,0,0,0,0,0,0,0,0,0,"43,545","42,226","39,598","37,710","37,756","36,811","33,141","28,501","32,237","33,053","36,458",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alibates Flint Quarries NM,"3,131","2,456","2,125","1,811","2,012","2,919","1,882","4,028","2,297","2,918","2,558",0,0,0,0,0,0,0,0,0,0,0,"7,830","6,143","5,314","4,530","5,032","7,300","4,708","10,073","5,745","7,299","6,397",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allegheny Portage Railroad NHS,"133,396","142,340","146,484","129,995","126,441","115,357","121,009","123,215","113,991","118,931","127,116",180,180,180,180,180,180,180,180,180,180,180,"142,190","157,731","184,610","154,037","150,366","140,505","150,935","157,922","157,417","159,955","155,567",48,48,48,48,48,48,48,48,48,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amistad NRA,"1,234,506","1,097,650","1,047,784","1,071,199","1,445,772","1,399,852","1,599,271","1,734,200","1,980,717","2,573,966","1,518,492","1,128","1,128","1,128","1,128","1,128","1,128","1,128","1,128","1,128","1,128","1,128","9,327,304","8,293,213","7,819,689","7,974,249","10,731,878","10,440,658","12,098,352","13,000,189","14,822,461","19,176,346","11,368,434","1,128","1,128","1,128","1,128","1,128","1,128","1,128","1,128","1,128","1,128","1,128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,235","1,788","2,671","3,346","1,539","2,559","2,489","1,008","1,192",908,"2,074","15,191","16,007","8,396","6,791","9,835","13,263","29,892","24,696","25,347","28,235","17,765","7,152","4,947","2,821","2,714","3,427","2,581","2,861","2,626","3,658","2,949","3,574",0,0,0,0,0,0,0,0,0,0,0,709,622,355,31,17,82,70,54,78,113,213
Andersonville NHS,"167,373","160,974","190,004","150,661","165,929","132,466","132,153","153,686","159,592","136,267","154,911",0,0,0,0,0,0,0,0,0,0,0,"334,746","321,948","380,002","301,321","331,859","264,935","264,306","307,370","319,185","272,530","309,820",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Johnson NHS,"59,897","49,551","48,878","51,910","50,196","48,552","50,701","43,456","69,433","63,296","53,587",0,0,0,0,0,0,0,0,0,0,0,"33,723","28,489","27,406","28,515","26,720","24,751","30,142","28,285","38,396","36,321","30,275",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aniakchak NM & PRES,251,206,241,154,285,285,60,26,10,14,153,77,77,77,24,17,17,0,0,0,0,29,"8,296","8,296","8,296","5,804","5,960","13,856","7,624","2,568",0,0,"6,070","2,200","2,200","2,200","4,944",136,136,0,0,0,504,"1,232",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,312,312,223,201,530,305,107,0,0,230,66,66,66,198,0,0,0,0,0,21,42,0,0,0,0,0,0,0,0,0,0,0
