Park Name,1980 Recreational Visits,1981 Recreational Visits,1982 Recreational Visits,1983 Recreational Visits,1984 Recreational Visits,1985 Recreational Visits,1986 Recreational Visits,1987 Recreational Visits,1988 Recreational Visits,1989 Recreational Visits,1980 - 1989 Average Recreational Visits,1980 Non-Recreational Visits,1981 Non-Recreational Visits,1982 Non-Recreational Visits,1983 Non-Recreational Visits,1984 Non-Recreational Visits,1985 Non-Recreational Visits,1986 Non-Recreational Visits,1987 Non-Recreational Visits,1988 Non-Recreational Visits,1989 Non-Recreational Visits,1980 - 1989 Average Non-Recreational Visits,1980 Recreational Hours,1981 Recreational Hours,1982 Recreational Hours,1983 Recreational Hours,1984 Recreational Hours,1985 Recreational Hours,1986 Recreational Hours,1987 Recreational Hours,1988 Recreational Hours,1989 Recreational Hours,1980 - 1989 Average Recreational Hours,1980 Non-Recreational Hours,1981 Non-Recreational Hours,1982 Non-Recreational Hours,1983 Non-Recreational Hours,1984 Non-Recreational Hours,1985 Non-Recreational Hours,1986 Non-Recreational Hours,1987 Non-Recreational Hours,1988 Non-Recreational Hours,1989 Non-Recreational Hours,1980 - 1989 Average Non-Recreational Hours,1980 Concessioner Lodging,1981 Concessioner Lodging,1982 Concessioner Lodging,1983 Concessioner Lodging,1984 Concessioner Lodging,1985 Concessioner Lodging,1986 Concessioner Lodging,1987 Concessioner Lodging,1988 Concessioner Lodging,1989 Concessioner Lodging,1980 - 1989 Average Concessioner Lodging,1980 Concessioner Camping,1981 Concessioner Camping,1982 Concessioner Camping,1983 Concessioner Camping,1984 Concessioner Camping,1985 Concessioner Camping,1986 Concessioner Camping,1987 Concessioner Camping,1988 Concessioner Camping,1989 Concessioner Camping,1980 - 1989 Average Concessioner Camping,1980 Tent Overnights,1981 Tent Overnights,1982 Tent Overnights,1983 Tent Overnights,1984 Tent Overnights,1985 Tent Overnights,1986 Tent Overnights,1987 Tent Overnights,1988 Tent Overnights,1989 Tent Overnights,1980 - 1989 Average Tent Overnights,1980 RV Overnights,1981 RV Overnights,1982 RV Overnights,1983 RV Overnights,1984 RV Overnights,1985 RV Overnights,1986 RV Overnights,1987 RV Overnights,1988 RV Overnights,1989 RV Overnights,1980 - 1989 Average RV Overnights,1980 Backcountry Overnights,1981 Backcountry Overnights,1982 Backcountry Overnights,1983 Backcountry Overnights,1984 Backcountry Overnights,1985 Backcountry Overnights,1986 Backcountry Overnights,1987 Backcountry Overnights,1988 Backcountry Overnights,1989 Backcountry Overnights,1980 - 1989 Average Backcountry Overnights,1980 Non-recreational Overnights,1981 Non-recreational Overnights,1982 Non-recreational Overnights,1983 Non-recreational Overnights,1984 Non-recreational Overnights,1985 Non-recreational Overnights,1986 Non-recreational Overnights,1987 Non-recreational Overnights,1988 Non-recreational Overnights,1989 Non-recreational Overnights,1980 - 1989 Average Non-recreational Overnights,1980 Miscellaneous Overnights,1981 Miscellaneous Overnights,1982 Miscellaneous Overnights,1983 Miscellaneous Overnights,1984 Miscellaneous Overnights,1985 Miscellaneous Overnights,1986 Miscellaneous Overnights,1987 Miscellaneous Overnights,1988 Miscellaneous Overnights,1989 Miscellaneous Overnights,1980 - 1989 Average Miscellaneous Overnights
Abraham Lincoln Birthplace NHP,"239,074","252,245","318,707","256,126","258,023","264,905","280,620","292,825","288,324","309,823","276,067",0,0,0,0,0,0,0,0,0,0,0,"239,074","252,245","318,707","256,126","258,023","264,905","280,620","292,825","288,324","309,823","276,067",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acadia NP,"2,779,666","2,997,972","3,572,114","4,124,639","3,734,763","3,745,570","3,929,054","4,288,154","4,502,283","5,440,952","3,911,517","493,429","405,001","183,047","183,024","183,034","183,024","183,024","188,280","188,676","188,676","237,922","18,671,588","20,907,596","24,505,138","27,263,187","24,733,407","28,932,970","25,221,989","28,251,442","29,668,170","35,285,688","26,344,118","276,719","202,499","91,512","91,512","91,512","91,512","91,512","94,135","94,332","94,333","121,958",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"155,704","166,557","172,759","164,429","158,697","152,585","156,438","158,649","175,545","173,909","163,527","76,124","76,309","84,841","72,335","32,192","54,941","49,311","52,952","45,661","46,089","59,076",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adams NHP,"24,974","27,055","25,440","26,162","23,398","24,555","24,693","25,617","21,617","22,595","24,611","12,000","12,000","12,000","12,000","12,000","12,000","9,000","15,160","11,485","17,504","12,515","18,730","20,292","19,080","19,622","17,550","18,417","18,520","18,960","16,213","14,292","18,168","16,000","16,000","16,000","16,000","16,000","16,000","5,750","7,468","5,745","7,423","12,239",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agate Fossil Beds NM,"8,330","9,459","9,018","10,097","10,317","10,366","10,187","11,439","11,156","11,459","10,183","9,480","9,551","8,120","11,433","9,949","9,937","8,466","6,554","7,066","9,000","8,956","8,466","9,501","9,583","10,871","11,699","12,336","14,113","15,350","14,223","13,499","11,964",857,819,740,974,"1,275",849,719,547,589,752,812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alibates Flint Quarries NM,"2,211","2,384","2,398","1,919","2,251","2,200","2,202","2,494","2,140","3,842","2,404",0,0,0,0,0,0,0,0,0,0,0,"5,528","5,960","5,995","4,798","5,628","5,500","5,481","6,236","5,351","9,607","6,008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allegheny Portage Railroad NHS,"73,995","65,557","60,069","55,148","59,635","69,523","68,990","93,289","123,622","133,324","80,315",519,492,463,540,661,681,666,853,"1,112","1,206",719,"56,790","51,882","50,304","53,663","75,665","87,279","86,714","121,290","149,543","152,047","88,518",519,492,463,540,571,681,666,853,"1,112","1,206",710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,73,10,25,220,0,14,0,0,0,34
Amistad NRA,"1,084,689","976,414","1,259,668","1,221,445","1,164,338","1,139,366","1,206,669","1,219,967","1,284,606","1,321,168","1,187,833","16,184","15,840","15,840","5,920","1,116","1,128","1,128","1,128","1,128","1,128","6,054","7,402,587","8,324,282","10,529,293","10,367,050","9,337,172","8,317,371","8,809,370","8,905,760","9,377,638","9,642,528","9,101,305","16,184","15,840","15,840","5,920","1,116","1,128","1,128","1,128","1,128","1,128","6,054",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"21,115","22,873","23,459","21,180","14,849","19,077","18,105","20,959","18,444","17,379","19,744","47,148","51,843","61,473","71,732","63,867","59,049","58,096","72,136","64,892","67,127","61,736","20,828","24,989","26,211","26,509","22,441","17,152","16,639","14,446","16,396","18,654","20,427",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,454","1,920","2,914","2,199","3,346","4,666","4,003","2,050"
Andersonville NHS,"126,700","113,697","104,053","110,921","101,029","118,440","129,798","130,114","129,912","136,068","120,073",0,0,0,0,0,0,0,0,0,0,0,"253,400","227,394","208,106","221,842","202,058","236,880","259,596","260,228","259,824","272,136","240,146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Johnson NHS,"65,591","74,100","77,578","119,410","84,889","68,607","72,600","77,095","76,566","71,350","78,779",0,0,0,0,0,0,0,0,0,0,0,"27,771","26,580","33,237","41,345","29,065","22,990","25,668","27,146","27,361","26,318","28,748",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aniakchak NM & PRES,,,,,,,,,,853,853,,,,,,,,,,465,465,,,,,,,,,,"74,494","74,494",,,,,,,,,,"7,200","7,200",,,,,,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,827,827,,,,,,,,,,90,90,,,,,,,,,,0,0
Antietam NB,"352,780","468,078","410,399","433,122","528,369","585,190","706,720","610,674","135,117","147,007","437,746",0,0,0,0,0,0,0,0,0,0,0,"718,328","959,246","848,746","891,144","1,071,092","1,190,456","1,445,660","1,318,278","354,354","358,004","915,531",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,324","1,818","2,329","2,075","1,186","1,573","2,685","3,231","2,804","2,133","2,116"
Apostle Islands NL,"88,467","103,960","125,756","130,913","127,300","117,353","113,621","137,341","140,107","135,016","121,983","1,065",980,656,696,704,745,888,791,784,865,817,"438,877","576,987","667,158","676,249","629,401","601,198","581,868","727,649","793,958","723,851","641,720",249,245,164,175,178,186,224,198,199,216,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,151","2,903","2,833","2,949","2,806","2,766","3,149","3,099",0,0,"2,266",0,0,0,0,0,0,0,0,0,0,0,"1,136","2,272","2,522","2,560","2,676","2,122","1,566","2,567","7,753","7,454","3,263",0,0,0,0,0,0,0,0,0,0,0,"11,208","13,400","14,321","14,848","14,080","15,828","15,379","19,370","18,402","17,120","15,396"
Appomattox Court House NHP,"218,724","244,968","240,405","246,277","318,027","277,613","323,784","336,075","312,693","377,440","289,601",0,0,0,0,0,0,0,0,0,0,0,"185,512","210,773","193,676","199,104","257,839","224,476","261,610","267,733","252,969","306,459","236,015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,523,0,0,0,0,0,0,0,0,73
Arches NP,"290,519","326,508","339,415","287,875","345,180","363,464","419,444","468,916","520,455","555,809","391,759",0,0,0,0,0,0,0,0,0,0,0,"1,885,869","2,093,772","2,060,421","1,738,233","1,869,556","2,093,280","2,389,140","2,498,585","2,801,449","2,894,971","2,232,528",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20,590","24,951","21,660","17,652","17,171","22,258","24,227","24,469","25,046","27,072","22,510","15,855","14,210","14,591","13,245","11,959","14,049","16,438","17,627","19,751","15,017","15,274","1,886","2,236","2,542","1,695","1,425","1,596","1,906","2,137","1,818","2,297","1,954",0,0,0,0,0,0,0,0,0,0,0,"4,081","5,030","5,081","3,851","3,609","3,884","4,506","6,477","7,591","7,739","5,185"
Arkansas Post NMEM,"63,002","53,538","58,349","55,443","58,297","55,113","60,258","60,593","68,623","69,023","60,224",0,0,0,0,0,0,0,0,0,0,0,"94,494","80,308","87,524","83,165","87,446","82,670","90,387","90,890","102,935","103,536","90,336",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,25,11,146,40
Arlington House The R.E. Lee MEM,"484,364","336,593","511,982","514,863","635,748","496,848","481,546","481,121","493,031","439,009","487,511",0,0,0,0,0,0,0,0,0,0,0,"238,181","168,298","255,989","257,430","313,371","248,421","250,492","240,559","246,515","241,454","246,071",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assateague Island NS,"1,967,525","2,019,316","2,019,438","2,150,285","2,024,519","2,304,906","2,452,652","2,648,892","2,418,662","2,074,764","2,208,096","3,100","3,000","3,400","3,000","3,100","3,350","2,900","3,981","3,600","3,600","3,303","14,108,000","14,996,759","14,873,700","16,377,437","15,348,090","17,330,407","18,304,200","19,754,385","19,950,376","18,374,293","16,941,765","2,200","2,200","3,000","2,600","2,700","2,750","1,750","2,981","3,600","3,600","2,738",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,019","14,052","13,476","11,216","11,699","11,123","13,075","12,808","15,490","14,138","12,410","3,414","4,934","4,457","3,288","3,684","4,587","9,968","6,968","10,405","13,664","6,537","2,918","2,533","2,372","1,898","2,226","2,458","2,473","1,813","2,512","2,497","2,370",0,0,0,0,0,0,0,0,0,0,0,"9,244","1,230","1,422","1,717","1,217","1,163","1,016","5,252","6,721","14,261","4,324"
Aztec Ruins NM,"56,844","64,902","60,878","61,693","58,394","58,187","62,519","65,459","79,518","86,874","65,527",0,0,0,0,0,0,0,0,0,55,6,"85,265","97,356","91,319","92,542","87,594","87,282","93,718","89,118","119,280","130,315","97,379",0,0,0,0,0,0,0,0,0,165,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Badlands NP,"952,652","1,175,952","1,030,484","1,026,981","1,113,675","950,242","1,025,630","1,174,398","1,110,040","1,237,956","1,079,801","12,000","12,000","12,000","12,000","12,000","12,000","12,000","12,000","12,000","12,000","12,000","3,989,052","4,995,449","4,307,467","4,297,122","4,669,587","4,013,446","4,334,782","4,921,410","4,691,842","5,228,146","4,544,830","6,044","6,252","8,580","15,840","14,832","13,392","11,652","12,768","12,264","6,000","10,762","3,010","3,822","3,982","4,299","4,960","5,168","5,929","6,811","7,050","7,859","5,289",0,0,0,0,0,0,0,0,0,0,0,"15,810","14,220","9,610","10,925","11,036","10,436","10,537","10,552","13,485","15,382","12,199","12,170","15,756","10,359","8,901","11,122","9,915","11,244","10,993","9,599","12,308","11,237",938,391,104,134,70,106,188,82,115,113,224,7,21,205,820,736,616,471,564,522,0,396,0,0,0,0,0,0,0,0,0,0,0
Bandelier NM,"176,410","197,574","210,850","199,775","215,500","238,434","237,977","261,527","249,561","322,273","230,988",810,800,830,800,901,720,780,780,780,780,798,"1,097,696","1,217,665","1,328,186","1,267,947","1,237,122","1,417,974","1,335,811","1,555,642","1,411,942","1,672,161","1,354,215",207,201,212,204,228,180,198,192,197,193,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,223","12,877","13,790","14,456","10,858","12,819","11,287","15,368","12,904","13,130","12,971","7,427","7,632","7,508","6,539","7,053","8,285","8,037","10,414","8,241","9,455","8,059","4,204","3,369","5,382","4,665","4,437","5,630","4,116","3,555","3,891","3,574","4,282",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bent's Old Fort NHS,"54,529","45,843","44,318","40,173","38,330","42,875","44,770","41,194","41,832","45,512","43,938",0,0,0,0,0,0,0,0,0,0,0,"68,213","57,305","55,398","50,216","47,912","53,596","55,966","51,493","52,350","56,892","54,934",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big Bend NP,"174,008","167,332","180,144","164,926","167,665","188,045","200,622","227,921","239,595","281,728","199,199","35,642","34,271","36,894","33,780","34,340","38,514","41,091","46,682","2,364","2,364","30,594","6,211,176","7,009,640","7,552,368","7,263,015","7,516,114","7,959,158","7,723,012","8,138,773","7,967,148","8,155,656","7,549,606","258,282","205,638","221,394","202,699","206,064","231,138","246,597","280,105","7,092","7,092","186,610","20,968","28,696","27,180","27,238","27,671","27,423","27,170","27,261","26,181","38,627","27,842","11,806","11,991","13,046","13,605","14,055","12,565","13,629","12,055","13,531","12,252","12,854","41,304","63,164","60,505","64,213","68,858","82,885","63,468","67,459","59,981","47,856","61,969","34,886","41,333","41,320","50,647","53,255","56,425","50,206","52,534","41,516","37,142","45,926","38,863","40,564","46,979","45,073","46,668","39,140","41,886","43,294","45,654","39,052","42,717",444,0,0,0,0,0,0,0,0,0,44,"23,524","23,443","35,580","19,343","17,688","19,171","25,122","22,552","25,304","24,026","23,575"
Big Cypress NPRES,,,,,,,,,,"81,157","81,157",,,,,,,,,,0,0,,,,,,,,,,"201,137","201,137",,,,,,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,"2,591","2,591",,,,,,,,,,"5,847","5,847",,,,,,,,,,0,0,,,,,,,,,,0,0,,,,,,,,,,"1,117","1,117"
